Ka(HD) [1/M]			I(0)			I(HD) [1/M]			I(D) [1/M]			seed
2014.56304965819			778.146392247941			69626378.8465047			1e-15			572413
2154.14354814713			10.9595896441215			74804306.3922569			4430313.20015695			8465
2085.78065191837			695.351946050394			69645309.0448659			157077.218717628			996357
1950.48119355866			524.822717270241			74483163.3340886			1553144.2928931			423544
2537.56749369578			750.78943801186			63663769.0809683			1e-15			642686
2520.32745745564			780.619944577321			62777131.2174846			1e-15			682930
2678.69168274464			654.640148212479			63570259.9221406			1e-15			513193
2053.18529276751			762.309669734581			69274824.6639866			233805.270535416			554912
2200.40295474468			821.599686286575			66940372.503997			341561.781303964			835275
1921.39005633664			603.592566183853			72654413.4048821			1421688.38894078			403684
