Host concentration,Dye concentration,Signal
151,0,776.433
151,41.2371,1348.02
151,81.6327,1933.71
151,121.2121,2475.66
151,160,2962.98
151,198.0198,3382.42
151,235.2941,3783.71
151,271.8447,4115.27
151,307.6923,4449.17
151,342.8571,4740.86
151,377.3585,4972.83
151,411.215,5213.38
151,444.4445,5407.04
151,477.0642,5612.67
151,509.0909,5810.18
151,540.5405,6013.25
151,571.4286,6097.87
151,601.7699,6244.25
151,631.5789,6373.96
151,660.8696,6499.27
151,689.6552,6620.72
151,717.9487,6734.27
151,745.7627,6854.66
151,773.1093,6945.03
151,800,7023.6
151,826.4463,7085.93
151,852.459,7221.22
